CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
sps4_201105_016,1,1,1,1,1,0,0,0
sps4_201105_017,1,1,1,1,1,0,0,0
sps4_201105_018,1,1,1,1,1,0,0,0
sps4_201105_019,1,1,1,1,1,0,0,0
sps4_201105_020,1,1,1,1,1,0,0,0
sps4_201105_021,1,1,1,1,1,0,0,0
sps4_201105_022,1,1,1,1,1,0,0,0
sps4_201105_023,1,1,1,1,1,0,0,0
sps4_201105_024,1,1,1,1,1,0,0,0
sps4_201105_025,1,1,1,1,1,0,0,0
sps4_201205_001,1,1,1,1,1,0,0,0
sps4_201205_002,1,1,1,1,1,0,0,0
sps4_201205_003,1,1,1,1,1,0,0,0
sps4_201205_004,1,1,1,1,1,0,0,0
sps4_201205_005,1,1,1,1,1,0,0,0
sps4_201205_006,1,1,1,1,1,0,0,0
sps4_201205_007,1,1,1,1,1,0,0,0
sps4_201205_008,1,1,1,1,1,0,0,0
sps4_201205_009,1,1,1,1,1,0,0,0
sps4_201205_010,1,1,1,1,1,0,0,0
sps4_201205_011,1,1,1,1,1,0,0,0
sps4_201205_012,1,1,1,1,1,0,0,0
sps4_201205_013,1,1,1,1,1,0,0,0
sps4_201205_014,1,1,1,1,1,0,0,0
sps4_201205_015,1,1,1,1,1,0,0,0
sps4_201205_016,1,1,1,1,1,0,0,0
sps4_201205_017,1,1,1,1,1,0,0,0
sps4_201205_018,1,1,1,1,1,0,0,0
sps4_201205_019,1,1,1,1,1,0,0,0
sps4_201205_020,1,1,1,1,1,0,0,0
sps4_201205_021,1,1,1,1,1,0,0,0
sps4_201205_022,1,1,1,1,1,0,0,0
sps4_201205_023,1,1,1,1,1,0,0,0
sps4_201205_024,1,1,1,1,1,0,0,0
sps4_201205_025,1,1,1,1,1,0,0,0
sps4_201305_001,0,0,0,0,0,0,0,0
sps4_201305_002,0,0,0,0,0,0,0,0
sps4_201305_003,0,0,0,0,0,0,0,0
sps4_201305_004,0,0,0,0,0,0,0,0
sps4_201305_005,0,0,0,0,0,0,0,0
sps4_201305_006,0,0,0,0,0,0,0,0
sps4_201305_007,0,0,0,0,0,0,0,0
sps4_201305_008,0,0,0,0,0,0,0,0
sps4_201305_009,0,0,0,0,0,0,0,0
sps4_201305_010,0,0,0,0,0,0,0,0
sps4_201305_011,0,0,0,0,0,0,0,0
sps4_201305_012,0,0,0,0,0,0,0,0
sps4_201305_013,0,0,0,0,0,0,0,0
sps4_201305_014,0,0,0,0,0,0,0,0
sps4_201305_015,0,0,0,0,0,0,0,0
sps4_201305_016,0,0,0,0,0,0,0,0
sps4_201305_017,0,0,0,0,0,0,0,0
sps4_201305_018,0,0,0,0,0,0,0,0
sps4_201305_019,0,0,0,0,0,0,0,0
sps4_201305_020,0,0,0,0,0,0,0,0
sps4_201305_021,0,0,0,0,0,0,0,0
sps4_201305_022,0,0,0,0,0,0,0,0
sps4_201305_023,0,0,0,0,0,0,0,0
sps4_201305_024,0,0,0,0,0,0,0,0
sps4_201305_025,0,0,0,0,0,0,0,0
sps4_201405_001,1,1,1,1,1,0,0,0
sps4_201405_002,1,1,1,1,1,0,0,0
sps4_201405_003,1,1,1,1,1,0,0,0
sps4_201405_004,1,1,1,1,1,0,0,0
sps4_201405_005,1,1,1,1,1,0,0,0
sps4_201405_006,1,1,1,1,1,0,0,0
sps4_201405_007,1,1,1,1,1,0,0,0
sps4_201405_008,1,1,1,1,1,0,0,0
sps4_201405_009,1,1,1,1,1,0,0,0
sps4_201405_010,1,1,1,1,1,0,0,0
sps4_201405_011,1,1,1,1,1,0,0,0
sps4_201405_012,1,1,1,1,1,0,0,0
sps4_201405_013,1,1,1,1,1,0,0,0
sps4_201405_014,1,1,1,1,1,0,0,0
sps4_201405_015,1,1,1,1,1,0,0,0
sps4_201405_016,1,1,1,1,1,0,0,0
sps4_201405_017,1,1,1,1,1,0,0,0
sps4_201405_018,1,1,1,1,1,0,0,0
sps4_201405_019,1,1,1,1,1,0,0,0
sps4_201405_020,1,1,1,1,1,0,0,0
sps4_201405_021,1,1,1,1,1,0,0,0
sps4_201405_022,1,1,1,1,1,0,0,0
sps4_201405_023,1,1,1,1,1,0,0,0
sps4_201405_024,1,1,1,1,1,0,0,0
sps4_201405_025,1,1,1,1,1,0,0,0
sps4_201505_001,1,1,1,1,1,0,0,0
sps4_201505_002,1,1,1,1,1,0,0,0
sps4_201505_003,1,1,1,1,1,0,0,0
sps4_201505_004,1,1,1,1,1,0,0,0
sps4_201505_005,1,1,1,1,1,0,0,0
sps4_201505_006,1,1,1,1,1,0,0,0
sps4_201505_007,1,1,1,1,1,0,0,0
sps4_201505_008,1,1,1,1,1,0,0,0
sps4_201505_009,1,1,1,1,1,0,0,0
sps4_201505_010,1,1,1,1,1,0,0,0
sps4_201505_011,1,1,1,1,1,0,0,0
sps4_201505_012,1,1,1,1,1,0,0,0
sps4_201505_013,1,1,1,1,1,0,0,0
sps4_201505_014,1,1,1,1,1,0,0,0
sps4_201505_015,1,1,1,1,1,0,0,0
sps4_201505_016,1,1,1,1,1,0,0,0
sps4_201505_017,1,1,1,1,1,0,0,0
sps4_201505_018,1,1,1,1,1,0,0,0
sps4_201505_019,1,1,1,1,1,0,0,0
sps4_201505_020,1,1,1,1,1,0,0,0
sps4_201505_021,1,1,1,1,1,0,0,0
sps4_201505_022,1,1,1,1,1,0,0,0
sps4_201505_023,1,1,1,1,1,0,0,0
sps4_201505_024,1,1,1,1,1,0,0,0
sps4_201505_025,1,1,1,1,1,0,0,0
sps4_201605_001,1,1,1,1,1,0,0,0
sps4_201605_002,1,1,1,1,1,0,0,0
sps4_201605_003,1,1,1,1,1,0,0,0
sps4_201605_004,1,1,1,1,1,0,0,0
sps4_201605_005,1,1,1,1,1,0,0,0
sps4_201605_006,1,1,1,1,1,0,0,0
sps4_201605_007,1,1,1,1,1,0,0,0
sps4_201605_008,1,1,1,1,1,0,0,0
sps4_201605_009,1,1,1,1,1,0,0,0
sps4_201605_010,1,1,1,1,1,0,0,0
sps4_201605_011,1,1,1,1,1,0,0,0
sps4_201605_012,1,1,1,1,1,0,0,0
sps4_201605_013,1,1,1,1,1,0,0,0
sps4_201605_014,1,1,1,1,1,0,0,0
sps4_201605_015,1,1,1,1,1,0,0,0
sps4_201605_016,1,1,1,1,1,0,0,0
sps4_201605_017,1,1,1,1,1,0,0,0
sps4_201605_018,1,1,1,1,1,0,0,0
sps4_201605_019,1,1,1,1,1,0,0,0
sps4_201605_020,1,1,1,1,1,0,0,0
sps4_201605_021,1,1,1,1,1,0,0,0
sps4_201605_022,1,1,1,1,1,0,0,0
sps4_201605_023,1,1,1,1,1,0,0,0
sps4_201605_024,1,1,1,1,1,0,0,0
sps4_201605_025,1,1,1,1,0,0,0,0
sps4_201705_001,1,1,1,1,1,0,0,0
sps4_201705_002,1,1,1,1,1,0,0,0
sps4_201705_003,1,1,1,1,1,0,0,0
sps4_201705_004,1,1,1,1,1,0,0,0
sps4_201705_005,1,1,1,1,1,0,0,0
sps4_201705_006,1,1,1,1,1,0,0,0
sps4_201705_007,1,1,1,1,1,0,0,0
sps4_201705_008,1,1,1,1,1,0,0,0
sps4_201705_009,1,1,1,1,1,0,0,0
sps4_201705_010,1,1,1,1,1,0,0,0
sps4_201705_011,1,1,1,1,1,0,0,0
sps4_201705_012,1,1,1,1,1,0,0,0
sps4_201705_013,1,1,1,1,1,0,0,0
sps4_201705_014,1,1,1,1,1,0,0,0
sps4_201705_015,1,1,1,1,1,0,0,0
sps4_201705_016,1,1,1,1,1,0,0,0
sps4_201705_017,1,1,1,1,1,0,0,0
sps4_201705_018,1,1,1,1,1,0,0,0
sps4_201705_019,1,1,1,1,1,0,0,0
sps4_201705_020,1,1,1,1,1,0,0,0
sps4_201705_021,1,1,1,1,1,0,0,0
sps4_201705_022,1,1,1,1,1,0,0,0
sps4_201705_023,1,1,1,1,1,0,0,0
sps4_201705_024,1,1,1,1,1,0,0,0
sps4_201705_025,1,1,1,1,1,0,0,0
sps4_201805_001,1,1,1,1,1,0,0,0
sps4_201805_002,1,1,1,1,1,0,0,0
sps4_201805_003,1,1,1,1,1,0,0,0
sps4_201805_004,1,1,1,1,1,0,0,0
sps4_201805_005,1,1,1,1,1,0,0,0
sps4_201805_006,1,1,1,1,1,0,0,0
sps4_201805_007,1,1,1,1,1,0,0,0
sps4_201805_008,1,1,1,1,1,0,0,0
sps4_201805_009,1,1,1,1,1,0,0,0
sps4_201805_010,1,1,1,1,1,0,0,0
sps4_201805_011,1,1,1,1,1,0,0,0
sps4_201805_012,1,1,1,1,1,0,0,0
sps4_201805_013,1,1,1,1,1,0,0,0
sps4_201805_014,1,1,1,1,1,0,0,0
sps4_201805_015,1,1,1,1,1,0,0,0
sps4_201805_016,1,1,1,1,1,0,0,0
sps4_201805_017,1,1,1,1,1,0,0,0
sps4_201805_018,1,1,1,1,1,0,0,0
sps4_201805_019,1,1,1,1,1,0,0,0
sps4_201805_020,1,1,1,1,1,0,0,0
sps4_201805_021,1,1,1,1,1,0,0,0
sps4_201805_022,1,1,1,1,1,0,0,0
sps4_201805_023,1,1,1,1,1,0,0,0
sps4_201805_024,1,1,1,1,1,0,0,0
sps4_201805_025,1,1,1,1,1,0,0,0
sps4_201905_001,1,1,1,1,1,0,0,0
