CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
sps4_201602_011,0,0,0,0,0,0,0,0
sps4_201602_012,0,0,0,0,0,0,0,0
sps4_201602_013,0,0,0,0,0,0,0,0
sps4_201602_014,0,0,0,0,0,0,0,0
sps4_201602_015,0,0,0,0,0,0,0,0
sps4_201602_016,0,0,0,0,0,0,0,0
sps4_201602_017,0,0,0,0,0,0,0,0
sps4_201602_018,0,0,0,0,0,0,0,0
sps4_201602_019,0,0,0,0,0,0,0,0
sps4_201602_020,0,0,0,0,0,0,0,0
sps4_201602_021,0,0,0,0,0,0,0,0
sps4_201602_022,0,0,0,0,0,0,0,0
sps4_201602_023,0,0,0,0,0,0,0,0
sps4_201602_024,0,0,0,0,0,0,0,0
sps4_201602_025,0,0,0,0,0,0,0,0
sps4_201702_001,0,0,0,0,0,0,0,0
sps4_201702_002,0,0,0,0,0,0,0,0
sps4_201702_003,0,0,0,0,0,0,0,0
sps4_201702_004,0,0,0,0,0,0,0,0
sps4_201702_005,0,0,0,0,0,0,0,0
sps4_201702_006,0,0,0,0,0,0,0,0
sps4_201702_007,0,0,0,0,0,0,0,0
sps4_201702_008,0,0,0,0,0,0,0,0
sps4_201702_009,0,0,0,0,0,0,0,0
sps4_201702_010,0,0,0,0,0,0,0,0
sps4_201702_011,0,0,0,0,0,0,0,0
sps4_201702_012,0,0,0,0,0,0,0,0
sps4_201702_013,0,0,0,0,0,0,0,0
sps4_201702_014,0,0,0,0,0,0,0,0
sps4_201702_015,0,0,0,0,0,0,0,0
sps4_201702_016,0,0,0,0,0,0,0,0
sps4_201702_017,0,0,0,0,0,0,0,0
sps4_201702_018,0,0,0,0,0,0,0,0
sps4_201702_019,0,0,0,0,0,0,0,0
sps4_201702_020,0,0,0,0,0,0,0,0
sps4_201702_021,0,0,0,0,0,0,0,0
sps4_201702_022,0,0,0,0,0,0,0,0
sps4_201702_023,0,0,0,0,0,0,0,0
sps4_201702_024,0,0,0,0,0,0,0,0
sps4_201702_025,0,0,0,0,0,0,0,0
sps4_201802_001,0,0,0,0,0,0,0,0
sps4_201802_002,0,0,0,0,0,0,0,0
sps4_201802_003,0,0,0,0,0,0,0,0
sps4_201802_004,0,0,0,0,0,0,0,0
sps4_201802_005,0,0,0,0,0,0,0,0
sps4_201802_006,0,0,0,0,0,0,0,0
sps4_201802_007,0,0,0,0,0,0,0,0
sps4_201802_008,0,0,0,0,0,0,0,0
sps4_201802_009,0,0,0,0,0,0,0,0
sps4_201802_010,0,0,0,0,0,0,0,0
sps4_201802_011,0,0,0,0,0,0,0,0
sps4_201802_012,0,0,0,0,0,0,0,0
sps4_201802_013,0,0,0,0,0,0,0,0
sps4_201802_014,0,0,0,0,0,0,0,0
sps4_201802_015,0,0,0,0,0,0,0,0
sps4_201802_016,0,0,0,0,0,0,0,0
sps4_201802_017,0,0,0,0,0,0,0,0
sps4_201802_018,0,0,0,0,0,0,0,0
sps4_201802_019,0,0,0,0,0,0,0,0
sps4_201802_020,0,0,0,0,0,0,0,0
sps4_201802_021,0,0,0,0,0,0,0,0
sps4_201802_022,0,0,0,0,0,0,0,0
sps4_201802_023,0,0,0,0,0,0,0,0
sps4_201802_024,0,0,0,0,0,0,0,0
sps4_201802_025,0,0,0,0,0,0,0,0
sps4_201902_001,0,0,0,0,0,0,0,0
sps4_201902_002,0,0,0,0,0,0,0,0
sps4_201902_003,0,0,0,0,0,0,0,0
sps4_201902_004,0,0,0,0,0,0,0,0
sps4_201902_005,0,0,0,0,0,0,0,0
sps4_201902_006,0,0,0,0,0,0,0,0
sps4_201902_007,0,0,0,0,0,0,0,0
sps4_201902_008,0,0,0,0,0,0,0,0
sps4_201902_009,0,0,0,0,0,0,0,0
sps4_201902_010,0,0,0,0,0,0,0,0
sps4_201902_011,0,0,0,0,0,0,0,0
sps4_201902_012,0,0,0,0,0,0,0,0
sps4_201902_013,0,0,0,0,0,0,0,0
sps4_201902_014,0,0,0,0,0,0,0,0
sps4_201902_015,0,0,0,0,0,0,0,0
sps4_201902_016,0,0,0,0,0,0,0,0
sps4_201902_017,0,0,0,0,0,0,0,0
sps4_201902_018,0,0,0,0,0,0,0,0
sps4_201902_019,0,0,0,0,0,0,0,0
sps4_201902_020,0,0,0,0,0,0,0,0
sps4_201902_021,0,0,0,0,0,0,0,0
